frame,id,type,x,y,z,kmh,gear
8985,2434,vehicle.bh.crossbike,   398.925,   229.531,     0.107,           0.00,0
8985,2433,vehicle.bh.crossbike,   100.641,    63.508,     0.106,           0.00,0
8985,2432,vehicle.bh.crossbike,   169.743,   198.545,     0.003,           0.00,0
8985,2431,vehicle.bh.crossbike,   127.203,   137.611,     0.107,           0.00,0
8985,2426,vehicle.bh.crossbike,    88.398,   178.090,     0.003,           0.00,0
8985,2423,vehicle.bh.crossbike,     4.842,   101.356,     0.558,           0.00,0
8985,2844,vehicle.bh.crossbike,     2.036,   202.314,     0.003,           0.00,0
8985,2850,vehicle.bh.crossbike,    -1.960,   234.576,     0.002,           0.00,0
8985,2853,vehicle.bh.crossbike,   128.039,   199.026,     0.003,           0.00,0
8985,2854,vehicle.bh.crossbike,   136.822,   195.165,     0.003,           0.00,0
8985,2861,vehicle.bh.crossbike,   175.037,   195.172,     0.003,           0.00,0
8985,2990,vehicle.tesla.model3,   200.657,    60.312,    -0.018,           0.00,1
8986,2858,vehicle.bh.crossbike,   206.481,   195.158,     0.003,           0.00,0
8986,2848,vehicle.bh.crossbike,   292.860,   129.637,     0.003,           0.00,0
8986,2430,vehicle.bh.crossbike,   191.978,   194.639,     0.003,           0.00,0
8986,2859,vehicle.bh.crossbike,   264.806,   199.127,     0.003,           0.00,0
8986,2424,vehicle.bh.crossbike,   105.298,   200.840,     0.028,           0.00,0
8986,2872,vehicle.bh.crossbike,   313.971,   199.139,     0.003,           0.00,0
8986,2846,vehicle.bh.crossbike,   207.114,     1.969,     0.003,           0.00,0
8986,2834,vehicle.lincoln.mkz_2017,   123.898,    55.201,     0.033,           0.00,0
8986,2835,vehicle.tesla.model3,    93.000,    79.953,    -0.015,           0.00,0
8986,2849,vehicle.bh.crossbike,   268.984,   330.570,     0.003,           0.00,0
8986,2847,vehicle.bh.crossbike,   357.098,   330.726,     0.002,           0.00,0
8986,2843,vehicle.bh.crossbike,    92.471,   110.313,     0.003,           0.00,0
8986,2425,vehicle.bh.crossbike,   390.922,   147.815,     0.003,           0.00,0
8986,3225,vehicle.tesla.model3,   197.056,    59.892,     0.406,           0.02,1
8986,2429,vehicle.bh.crossbike,   179.659,   333.902,     0.107,           0.00,0
8986,2428,vehicle.bh.crossbike,   211.759,   323.050,    -0.163,           0.00,0
8986,2427,vehicle.bh.crossbike,   300.636,   131.375,     0.003,           0.00,0
8986,2867,vehicle.bh.crossbike,   111.136,    59.537,     0.003,           0.00,0
8986,2845,vehicle.bh.crossbike,   294.633,    59.423,     0.003,           0.00,0
8986,2869,vehicle.bh.crossbike,   139.492,   199.022,     0.002,           0.00,0
8986,2862,vehicle.bh.crossbike,   334.866,   305.019,     0.002,           0.00,0
8986,2857,vehicle.bh.crossbike,    88.309,   151.809,     0.002,           0.00,0
8986,2866,vehicle.bh.crossbike,   241.933,   129.627,     0.003,           0.00,0
8986,2855,vehicle.bh.crossbike,    92.277,   256.645,     0.003,           0.00,0
8986,2870,vehicle.bh.crossbike,   226.038,   326.498,     0.003,           0.00,0
8986,2852,vehicle.bh.crossbike,   372.646,     2.014,     0.003,           0.00,0
8986,2865,vehicle.bh.crossbike,    92.287,   153.762,     0.003,           0.00,0
8986,2863,vehicle.bh.crossbike,   253.020,   129.624,     0.003,           0.00,0
8986,2856,vehicle.bh.crossbike,   206.510,    55.441,     0.003,           0.00,0
8986,2851,vehicle.bh.crossbike,   392.369,   124.687,     0.002,           0.00,0
8986,2860,vehicle.bh.crossbike,    68.398,     1.970,     0.003,           0.00,0
8986,2871,vehicle.bh.crossbike,   158.050,    20.612,     0.003,           0.00,0
8986,2864,vehicle.bh.crossbike,   179.473,     1.994,     0.002,           0.00,0
8986,2868,vehicle.bh.crossbike,   176.851,    59.625,     0.002,           0.00,0
8986,2451,vehicle.bh.crossbike,     0.757,   162.337,     0.003,           0.00,0
8986,2452,vehicle.bh.crossbike,    81.214,   256.394,     0.034,           0.00,0
8986,2450,vehicle.bh.crossbike,   155.089,   203.099,     0.107,           0.00,0
8986,2449,vehicle.bh.crossbike,   397.438,   237.031,     0.003,           0.00,0
8986,2448,vehicle.bh.crossbike,    -3.992,   110.637,     0.057,           0.00,0
8986,2447,vehicle.bh.crossbike,    -8.828,    97.453,    -0.274,           0.00,0
8986,2446,vehicle.bh.crossbike,   271.042,    56.248,     0.003,           0.00,0
8986,2445,vehicle.bh.crossbike,   128.810,    -6.280,     0.107,           0.00,0
8986,2444,vehicle.bh.crossbike,   144.679,    54.955,     0.003,           0.00,0
8986,2443,vehicle.bh.crossbike,    28.315,     2.122,     0.002,           0.00,0
8986,2442,vehicle.bh.crossbike,   397.540,    64.710,     0.003,           0.00,0
8986,2441,vehicle.bh.crossbike,    77.373,     3.382,     0.003,           0.00,0
8986,2440,vehicle.bh.crossbike,   400.492,   265.647,     0.107,           0.00,0
8986,2439,vehicle.bh.crossbike,   398.851,     4.524,     0.328,           0.00,0
8986,2438,vehicle.bh.crossbike,   401.388,    80.560,     0.107,           0.00,0
8986,2437,vehicle.bh.crossbike,   302.917,    65.179,     0.099,           0.00,0
8986,2436,vehicle.bh.crossbike,   339.013,   240.469,     0.003,           0.00,0
8986,2435,vehicle.bh.crossbike,    95.420,    82.585,     0.107,           0.00,0
8986,2434,vehicle.bh.crossbike,   398.925,   229.531,     0.107,           0.00,0
8986,2433,vehicle.bh.crossbike,   100.641,    63.508,     0.106,           0.00,0
8986,2432,vehicle.bh.crossbike,   169.743,   198.545,     0.003,           0.00,0
8986,2431,vehicle.bh.crossbike,   127.203,   137.611,     0.107,           0.00,0
8986,2426,vehicle.bh.crossbike,    88.398,   178.090,     0.003,           0.00,0
8986,2423,vehicle.bh.crossbike,     4.842,   101.356,     0.558,           0.00,0
8986,2844,vehicle.bh.crossbike,     2.029,   202.024,     0.003,           0.00,0
8986,2850,vehicle.bh.crossbike,    -1.965,   234.863,     0.003,           0.00,0
8986,2853,vehicle.bh.crossbike,   128.326,   199.000,     0.003,           0.00,0
8986,2854,vehicle.bh.crossbike,   136.536,   195.144,     0.002,           0.00,0
8986,2861,vehicle.bh.crossbike,   174.751,   195.170,     0.003,           0.00,0
8986,2990,vehicle.tesla.model3,   200.657,    60.312,    -0.018,           0.01,1
8987,2858,vehicle.bh.crossbike,   206.160,   195.179,     0.003,           0.00,0
8987,2848,vehicle.bh.crossbike,   292.539,   129.618,     0.003,           0.00,0
8987,2430,vehicle.bh.crossbike,   191.978,   194.639,     0.003,           0.00,0
8987,2859,vehicle.bh.crossbike,   265.128,   199.127,     0.003,           0.00,0
8987,2424,vehicle.bh.crossbike,   105.298,   200.840,     0.028,           0.00,0
8987,2872,vehicle.bh.crossbike,   314.293,   199.141,     0.003,           0.00,0
8987,2846,vehicle.bh.crossbike,   207.432,     1.954,     0.002,           0.00,0
8987,2834,vehicle.lincoln.mkz_2017,   123.418,    55.201,     0.033,           0.00,0
8987,2835,vehicle.tesla.model3,    93.000,    79.582,    -0.008,           0.00,0
8987,2849,vehicle.bh.crossbike,   269.301,   330.552,     0.002,           0.00,0
8987,2847,vehicle.bh.crossbike,   357.417,   330.718,     0.002,           0.00,0
8987,2843,vehicle.bh.crossbike,    92.513,   109.996,     0.003,           0.00,0
8987,2425,vehicle.bh.crossbike,   390.922,   147.815,     0.003,           0.00,0
8987,3225,vehicle.tesla.model3,   197.057,    59.892,     0.406,           0.02,1
8987,2429,vehicle.bh.crossbike,   179.659,   333.902,     0.107,           0.00,0
8987,2428,vehicle.bh.crossbike,   211.759,   323.050,    -0.163,           0.00,0
8987,2427,vehicle.bh.crossbike,   300.636,   131.375,     0.003,           0.00,0
8987,2867,vehicle.bh.crossbike,   111.458,    59.519,     0.003,           0.00,0
8987,2845,vehicle.bh.crossbike,   294.950,    59.401,     0.003,           0.00,0
8987,2869,vehicle.bh.crossbike,   139.815,   198.972,     0.002,           0.00,0
8987,2862,vehicle.bh.crossbike,   334.707,   305.299,     0.002,           0.00,0
8987,2857,vehicle.bh.crossbike,    88.409,   152.115,     0.002,           0.00,0
8987,2866,vehicle.bh.crossbike,   241.618,   129.618,     0.003,           0.00,0
8987,2855,vehicle.bh.crossbike,    92.257,   256.327,     0.002,           0.00,0
8987,2870,vehicle.bh.crossbike,   225.719,   326.498,     0.003,           0.00,0
8987,2852,vehicle.bh.crossbike,   372.968,     2.012,     0.003,           0.00,0
8987,2865,vehicle.bh.crossbike,    92.264,   153.439,     0.003,           0.00,0
8987,2863,vehicle.bh.crossbike,   252.697,   129.614,     0.003,           0.00,0
8987,2856,vehicle.bh.crossbike,   206.192,    55.397,     0.003,           0.00,0
8987,2851,vehicle.bh.crossbike,   392.378,   124.997,     0.002,           0.00,0
8987,2860,vehicle.bh.crossbike,    68.724,     1.962,     0.003,           0.00,0
8987,2871,vehicle.bh.crossbike,   158.063,    20.288,     0.003,           0.00,0
8987,2864,vehicle.bh.crossbike,   179.794,     1.988,     0.002,           0.00,0
8987,2868,vehicle.bh.crossbike,   177.172,    59.604,     0.002,           0.00,0
8987,2451,vehicle.bh.crossbike,     0.757,   162.337,     0.003,           0.00,0
8987,2452,vehicle.bh.crossbike,    81.214,   256.394,     0.034,           0.00,0
8987,2450,vehicle.bh.crossbike,   155.089,   203.099,     0.107,           0.00,0
8987,2449,vehicle.bh.crossbike,   397.438,   237.031,     0.003,           0.00,0
8987,2448,vehicle.bh.crossbike,    -3.992,   110.637,     0.057,           0.00,0
8987,2447,vehicle.bh.crossbike,    -8.828,    97.453,    -0.274,           0.00,0
8987,2446,vehicle.bh.crossbike,   271.042,    56.248,     0.003,           0.00,0
8987,2445,vehicle.bh.crossbike,   128.810,    -6.280,     0.107,           0.00,0
8987,2444,vehicle.bh.crossbike,   144.679,    54.955,     0.003,           0.00,0
8987,2443,vehicle.bh.crossbike,    28.315,     2.122,     0.002,           0.00,0
8987,2442,vehicle.bh.crossbike,   397.540,    64.710,     0.003,           0.00,0
8987,2441,vehicle.bh.crossbike,    77.373,     3.382,     0.003,           0.00,0
8987,2440,vehicle.bh.crossbike,   400.492,   265.647,     0.107,           0.00,0
8987,2439,vehicle.bh.crossbike,   398.851,     4.524,     0.328,           0.00,0
8987,2438,vehicle.bh.crossbike,   401.388,    80.560,     0.107,           0.00,0
8987,2437,vehicle.bh.crossbike,   302.917,    65.179,     0.099,           0.00,0
8987,2436,vehicle.bh.crossbike,   339.013,   240.469,     0.003,           0.00,0
8987,2435,vehicle.bh.crossbike,    95.420,    82.585,     0.107,           0.00,0
8987,2434,vehicle.bh.crossbike,   398.925,   229.531,     0.107,           0.00,0
8987,2433,vehicle.bh.crossbike,   100.641,    63.508,     0.106,           0.00,0
8987,2432,vehicle.bh.crossbike,   169.743,   198.545,     0.003,           0.00,0
8987,2431,vehicle.bh.crossbike,   127.203,   137.611,     0.107,           0.00,0
8987,2426,vehicle.bh.crossbike,    88.398,   178.090,     0.003,           0.00,0
8987,2423,vehicle.bh.crossbike,     4.842,   101.356,     0.558,           0.00,0
8987,2844,vehicle.bh.crossbike,     2.015,   201.702,     0.003,           0.00,0
8987,2850,vehicle.bh.crossbike,    -1.953,   235.181,     0.003,           0.00,0
8987,2853,vehicle.bh.crossbike,   128.642,   198.962,     0.002,           0.00,0
8987,2854,vehicle.bh.crossbike,   136.220,   195.127,     0.002,           0.00,0
8987,2861,vehicle.bh.crossbike,   174.434,   195.173,     0.003,           0.00,0
8987,2990,vehicle.tesla.model3,   200.657,    60.312,    -0.019,           0.01,1
8988,2858,vehicle.bh.crossbike,   205.978,   195.182,     0.003,           0.00,0
8988,2848,vehicle.bh.crossbike,   292.358,   129.601,     0.003,           0.00,0
8988,2430,vehicle.bh.crossbike,   191.978,   194.639,     0.003,           0.00,0
8988,2859,vehicle.bh.crossbike,   265.309,   199.125,     0.003,           0.00,0
8988,2424,vehicle.bh.crossbike,   105.298,   200.840,     0.028,           0.00,0
8988,2872,vehicle.bh.crossbike,   314.474,   199.141,     0.003,           0.00,0
8988,2846,vehicle.bh.crossbike,   207.612,     1.946,     0.002,           0.00,0
8988,2834,vehicle.lincoln.mkz_2017,   123.140,    55.202,     0.033,           0.00,0
8988,2835,vehicle.tesla.model3,    93.000,    79.373,    -0.005,           0.00,0
8988,2849,vehicle.bh.crossbike,   269.480,   330.541,     0.002,           0.00,0
8988,2847,vehicle.bh.crossbike,   357.598,   330.716,     0.002,           0.00,0
8988,2843,vehicle.bh.crossbike,    92.548,   109.818,     0.003,           0.00,0
8988,2425,vehicle.bh.crossbike,   390.922,   147.815,     0.003,           0.00,0
8988,3225,vehicle.tesla.model3,   197.057,    59.892,     0.406,           0.05,1
8988,2429,vehicle.bh.crossbike,   179.659,   333.902,     0.107,           0.00,0
8988,2428,vehicle.bh.crossbike,   211.759,   323.050,    -0.163,           0.00,0
8988,2427,vehicle.bh.crossbike,   300.636,   131.375,     0.003,           0.00,0
